Id,Job Title,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role
0,Digital Media Planner,5 - 10 yrs,Media Planning| Digital Media,Advertising,Los Angeles,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Media Planning Executive/Manager
1,Online Bidding Executive,2 - 5 yrs,pre sales| closing| software knowledge| clients| requirements| negotiating| client| online bidding| good communication| technology,Retail Sales,New York,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer
2,Trainee Research/ Research Executive- Hi- Tech Operations,0 - 1 yrs,Computer science| Fabrication| Quality check| Intellectual property| Electronics| Support services| Research| Management| Human resource management| Research Executive,R&D,San Francisco,"Engineering Design , R&D","Recruitment, Staffing",R&D Executive
3,Technical Support,0 - 5 yrs,Technical Support,Admin/Maintenance/Security/Datawarehousing,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Support Engineer
4,Software Test Engineer -hyderabad,2 - 5 yrs,manual testing| test engineering| test cases| web testing| web technologies,Programming & Design,Boston,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer
5,Opening For Adobe Analytics Specialist,5 - 7 yrs,adobe experience manager| digital| digital marketing| adobe analytics| data analytics| aem| adobe| sitecatalyst,Programming & Design,Seattle,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Analyst
6,Sales- Fresher-for Leading Property Consultant,0 - 0 yrs,channel partners| real estate| negotiation| property| Residential Sales,Retail Sales,Seattle,"Sales , Retail , Business Development","Real Estate, Property",Sales Executive/Officer
7,Opportunity For Azure Devops Architect For Hyderabad Location,9 - 14 yrs,TFS| Azure| Git| VSTS| Docker| DynaTrace| Splunk| AWS,Programming & Design,Detroit,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Architect
8,BDE- New Jersey,2 - 7 yrs,Bde,Institutional Sales,Austin,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer
9,Technical Support/ Product Support,1 - 5 yrs,technical support| support services| application support| communication skills| voice based process| semi voice| semi voice process,Voice,Austin,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
10,Executive Assistant To Chairman,5 - 10 yrs,secretary| executive assistant| ea,Corporate Planning/Consulting/Strategy,Los Angeles,"Strategy , Management Consulting , Corporate Planning","Courier, Transportation, Freight , Warehousing",Corporate Planning/Strategy Manager
11,SEO Executive,1 - 6 yrs,website| web analytics| xml| link building| google analytics| case studies| seo| social media| tracking| maintaining,Admin/Maintenance/Security/Datawarehousing,New York,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Webmaster
12,Workflow Coordinator,2 - 7 yrs,operations| workflow| tat| monitoring| mts| email,Operations,San Francisco,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Process Flow Analyst
13,Oracle IDAM,3 - 7 Years,Oracle IDAM|OIM|OAM,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer
14,Looking Facebook /social Media Manager For our Digital Marketing Ageny,2 - 4 yrs,digital marketing| seo| social media marketing| content marketing| email marketing| sem| google analytics| campaign management| facebook| media management,Online/Digital Marketing,Washington DC,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Social Media Marketing Manager
16,Tooling &amp; Sampling,2 - 7 yrs,Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,Engineering Design,Washington DC,"Engineering Design , R&D","Industrial Products, Heavy Machinery",Senior Design Engineer
